BehaviorSpace results (NetLogo 6.0.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TrabPratico1-AgentesRacionais.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
teste2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/20/2019 20:06:35:211 +0100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
nLimpadores;0;0;0;0;0;0;0;0;0;0;15;15;15;15;15;15;15;15;15;15;30;30;30;30;30;30;30;30;30;30
[steps];100;87;94;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[initial & final values];count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes;count comiloes
;2;0;0;1;2;1;2;1;1;3;0;1;1;1;1;0;1;0;1;1;2;0;1;1;1;0;1;0;1;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;comiloes ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nLimpadores = 0 ;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nLimpadores = 15;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nLimpadores = 30 ;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
