BehaviorSpace results (NetLogo 6.0.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TrabPratico1-AgentesRacionais.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
test3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/20/2019 19:19:18:131 +0100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20;21;21;22;22;23;23;24;24;25;25;26;26;27;27;28;28;29;29;30;30
energiaPorComida;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;25;;25;;25;;25;;25;;25;;25;;25;;25;;25;;50;;50;;50;;50;;50;;50;;50;;50;;50;;50;
[steps];100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[initial & final values];count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores;count comiloes;count limpadores
;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;0;30;1;30;1;30;0;30;0;30;0;30;1;30;1;30;0;30;1;30;0;30;1;30;2;30;1;30;2;30;1;30;1;30;1;30;0;30;2;30
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ticks ;comiloes ;limpadores;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;energiaPorComida=0;100;0;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;energiaPorComida=25;100;0,5;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;energiaPorComida=50;100;0,958333333;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
