BehaviorSpace results (NetLogo 6.0.4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TrabPratico1-AgentesRacionais.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
test1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/20/2019 20:20:52:641 +0100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20;21;21;22;22;23;23;24;24;25;25;26;26;27;27;28;28;29;29;30;30
nDepositos;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;
[steps];100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[initial & final values];count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles;count patches with [pcolor = red] + count patches with [pcolor = yellow];count turtles
;74;30;71;33;79;32;76;31;65;32;74;31;74;32;75;31;78;31;71;31;62;30;72;33;68;32;73;31;74;30;76;30;72;33;72;31;79;32;78;30;76;32;72;32;77;31;69;31;63;30;73;31;72;33;64;30;75;34;66;30
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Opção “mantemLixo?"" = false ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Agentes;lixo e lixoToxico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nDepositos=1;31,4;73,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nDepositos=5;31,21818182;72,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;nDepositos=10;31,4;71,11666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
